model,brier,log_loss,ece,roc_auc
Stacking Ensemble,0.08082924041470575,0.2723817355464789,0.032751930511094464,0.9496234554361337
Elastic-Net LR,0.08166208443119743,0.28189662948327704,0.04817340217362287,0.9454071311934878
Random Forest,0.08265404421541327,0.27580837992528734,0.060530556891667996,0.9558626404425922
CatBoost,0.08380961297170444,0.2984511023612613,0.047721249723095896,0.9484292364309912
Logistic Regression,0.08385202077647327,0.2845940247955436,0.05613028404123325,0.9449684384977212
SVM (RBF),0.08390907886502996,0.29892376069680615,0.03428678875694877,0.942506885038142
XGBoost,0.09321827441453934,0.33127346634864807,0.06490467924676421,0.945309643927762
KNN,0.09828406661450334,0.7655993600266773,0.0718239696147024,0.9284443469571787
Gaussian NB,0.10901855580359537,0.4405657075819331,0.10033984118823255,0.951012648972728
