train_size,train_mean,train_std,cv_mean,cv_std
51,1.0,0.0,0.915596704027547,0.017224847864852417
93,1.0,0.0,0.9385354256577984,0.017397739202190426
135,0.9999487967229903,0.00010240655401947408,0.9485313085713134,0.02556878516115757
177,1.0,0.0,0.9516469065709275,0.022851825911130833
219,0.9998852997327539,0.00013763704502896132,0.9530567207838011,0.018647477666289537
261,0.9997587481580847,0.00020161262345478443,0.9562200395585793,0.018173118794299104
303,0.9998728581980945,9.491882475633564e-05,0.9548655756867328,0.017286533455315608
345,0.9998852854192318,3.4118617209309324e-05,0.9564263257450343,0.015617588261199244
