Logistic Regression,Random Forest,SVM (RBF),XGBoost,Elastic-Net LR,Gaussian NB,KNN,CatBoost,Stacking Ensemble
0.930952380952381,0.9595238095238096,0.9500000000000001,0.9380952380952381,0.9357142857142857,0.9547619047619047,0.9345238095238095,0.9476190476190477,0.95
0.9356321839080459,0.9057471264367816,0.903448275862069,0.9195402298850576,0.9356321839080459,0.9126436781609196,0.8735632183908046,0.9218390804597701,0.9103448275862069
0.958128078817734,0.958128078817734,0.9384236453201971,0.9384236453201971,0.958128078817734,0.9605911330049262,0.9655172413793103,0.9605911330049262,0.9507389162561577
0.9359605911330049,0.9384236453201971,0.9285714285714286,0.9334975369458128,0.9310344827586208,0.9039408866995075,0.9458128078817734,0.9482758620689655,0.9310344827586208
0.9137931034482759,0.9433497536945813,0.9655172413793104,0.9482758620689655,0.9113300492610839,0.9408866995073892,0.9507389162561577,0.9285714285714286,0.9482758620689655
0.9261083743842364,0.9236453201970443,0.9113300492610836,0.8891625615763548,0.9285714285714286,0.9384236453201971,0.8842364532019705,0.9014778325123154,0.9187192118226601
0.9704433497536946,0.9679802955665024,0.9655172413793104,0.9802955665024631,0.9704433497536946,0.9556650246305418,0.9408866995073892,0.9655172413793103,0.9729064039408868
0.9802955665024631,0.9852216748768473,0.9827586206896551,0.9729064039408867,0.9778325123152709,0.9926108374384237,0.9802955665024631,0.9778325123152709,0.9852216748768473
0.9064039408866995,0.9310344827586208,0.9359605911330049,0.916256157635468,0.9064039408866995,0.9261083743842364,0.9211822660098523,0.9236453201970443,0.9384236453201971
0.9901477832512315,1.0,0.9926108374384237,0.9926108374384236,0.9926108374384237,0.9926108374384237,0.9975369458128078,1.0,0.9975369458128079
0.9238095238095239,0.95,0.9523809523809523,0.9333333333333333,0.9238095238095239,0.9500000000000001,0.9500000000000001,0.9333333333333333,0.9452380952380952
0.9655172413793103,0.9747126436781609,0.9655172413793103,0.9701149425287356,0.9609195402298851,0.9540229885057471,0.960919540229885,0.960919540229885,0.9747126436781609
0.9926108374384236,0.9901477832512315,0.9926108374384237,0.9852216748768472,0.9950738916256158,0.9753694581280788,0.9802955665024631,0.9950738916256158,0.9901477832512315
0.9778325123152709,0.9729064039408868,0.9778325123152709,0.9433497536945813,0.980295566502463,0.9827586206896551,0.9679802955665024,0.9753694581280788,0.9753694581280788
0.9261083743842364,0.933497536945813,0.9088669950738916,0.9236453201970445,0.9261083743842364,0.9113300492610837,0.8805418719211822,0.9211822660098523,0.935960591133005
0.9630541871921183,0.9433497536945814,0.9507389162561577,0.9532019704433498,0.9630541871921183,0.9482758620689655,0.9076354679802956,0.9532019704433499,0.9507389162561577
0.9729064039408867,0.9605911330049262,0.9507389162561577,0.9630541871921182,0.9729064039408867,0.9655172413793103,0.9458128078817735,0.9630541871921182,0.9556650246305419
0.854679802955665,0.8940886699507389,0.8916256157635467,0.8891625615763546,0.852216748768473,0.9211822660098522,0.8583743842364532,0.8916256157635469,0.8940886699507389
0.9950738916256158,0.9802955665024631,0.9950738916256158,0.9901477832512315,0.9901477832512315,0.9876847290640394,0.960591133004926,0.9926108374384237,0.9926108374384237
0.9137931034482759,0.9236453201970444,0.896551724137931,0.9064039408866996,0.9211822660098523,0.9334975369458128,0.9236453201970444,0.8842364532019704,0.9187192118226601
0.8714285714285714,0.911904761904762,0.8857142857142857,0.8928571428571428,0.8809523809523809,0.9357142857142857,0.8833333333333333,0.9095238095238095,0.8976190476190476
0.9241379310344828,0.9310344827586208,0.9057471264367816,0.9356321839080459,0.9264367816091954,0.9517241379310344,0.9195402298850575,0.9241379310344828,0.9264367816091954
0.9285714285714286,0.958128078817734,0.9384236453201971,0.9433497536945813,0.9211822660098523,0.9507389162561576,0.9285714285714285,0.9507389162561577,0.9507389162561577
0.9827586206896551,0.9729064039408867,0.9852216748768473,0.9630541871921183,0.9827586206896551,0.9285714285714286,0.9679802955665024,0.9704433497536945,0.9778325123152709
0.9852216748768473,0.9778325123152709,0.9778325123152709,0.9827586206896551,0.9876847290640394,0.9852216748768473,0.9876847290640395,0.9753694581280787,0.9778325123152709
0.9753694581280788,0.980295566502463,0.9704433497536946,0.9729064039408867,0.9655172413793104,0.9827586206896552,0.9827586206896552,0.9704433497536946,0.9778325123152709
0.9211822660098523,0.958128078817734,0.9655172413793103,0.9704433497536945,0.9211822660098523,0.9630541871921182,0.9679802955665024,0.9679802955665024,0.9704433497536946
0.9778325123152709,0.9876847290640394,0.9778325123152709,0.9827586206896552,0.9753694581280788,0.9655172413793104,0.9876847290640395,0.9778325123152709,0.9827586206896552
0.9211822660098523,0.896551724137931,0.8990147783251232,0.8497536945812808,0.9285714285714286,0.8793103448275862,0.9051724137931035,0.8645320197044335,0.8916256157635468
0.9975369458128079,1.0,0.9827586206896551,0.9655172413793104,0.9975369458128079,0.9605911330049262,0.9852216748768474,0.9852216748768472,0.9926108374384237
