model,accuracy,accuracy_std,balanced_accuracy,balanced_accuracy_std,precision,precision_std,recall,recall_std,f1,f1_std,roc_auc,roc_auc_std,fit_time_s
Random Forest,0.8990310077519381,0.03632286752232601,0.8781280788177338,0.04688473037217198,0.8708943072178366,0.06814019522137475,0.8180952380952383,0.09285429381058656,0.8397184026886475,0.05980525437265733,0.9536918445539134,0.029356491596889196,0.8636104106903076
Stacking Ensemble,0.8967054263565893,0.031726471931990866,0.8818253968253967,0.041258596018824444,0.8472555195349313,0.06030379325431389,0.8392063492063493,0.08225546303616879,0.8403324896412587,0.053040669584343336,0.9527394636015326,0.030672876480496023,6.0414708137512205
SVM (RBF),0.8890239605355887,0.04531985126505649,0.8774274767378216,0.056056709728340585,0.8249905731523379,0.07330755569391613,0.8441269841269841,0.10293451920096723,0.8308972216072699,0.07328683418154124,0.9481527093596058,0.033611833389559295,0.06370943387349447
Logistic Regression,0.8866983791402397,0.04112568907184135,0.8823371647509577,0.04843681737150459,0.80542325049678,0.07304189739804005,0.87,0.08827865933011043,0.8333010886996797,0.061698038806386885,0.9472824302134648,0.036288876691056085,0.04278415044148763
XGBoost,0.8750352360817479,0.04335985986333581,0.8541324575807335,0.05355687930209075,0.8249172205789854,0.08342977844115866,0.7941269841269841,0.10304277292050316,0.8042279319713507,0.07134789912404965,0.9448576902025178,0.03459529219605428,0.16325186888376872
