model,mean_auc,std_auc,min_auc,max_auc,wins,win_rate,auc_range
Gaussian NB,0.9448756976154236,0.024864551323134677,0.8786149162861492,0.980593607305936,8,0.267,0.102
Random Forest,0.9517884322678843,0.024265449562028,0.8964992389649924,0.9851598173515982,6,0.2,0.0887
CatBoost,0.9492516489091831,0.026996958102457697,0.8873668188736682,0.9874429223744292,4,0.133,0.1001
Stacking Ensemble,0.9513825469304922,0.025588734275986413,0.8953576864535768,0.9855403348554034,3,0.1,0.0902
Elastic-Net LR,0.9448503297818366,0.029624957421804442,0.8732876712328768,0.9874429223744292,3,0.1,0.1142
XGBoost,0.9489472349061391,0.023052617940577426,0.8964992389649924,0.9817351598173516,3,0.1,0.0852
SVM (RBF),0.9408929477422628,0.029740919414139692,0.8710045662100456,0.9836377473363775,2,0.067,0.1126
KNN,0.931881024860477,0.029542290880380302,0.8554033485540334,0.9843987823439878,1,0.033,0.129
Logistic Regression,0.9442161339421613,0.029782233769292767,0.8679604261796043,0.9855403348554033,0,0.0,0.1176
