strategy,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,avg_precision,true_negatives,false_positives,false_negatives,true_positives,specificity
no balancing,0.9174311926605505,0.8961187214611872,0.9090909090909091,0.8333333333333334,0.8695652173913043,0.9315068493150684,0.9214711422218248,70,3,6,30,0.958904109589041
class weighting,0.908256880733945,0.8963089802130898,0.8611111111111112,0.8611111111111112,0.8611111111111112,0.9288432267884323,0.9167305403263312,68,5,5,31,0.9315068493150684
SMOTE,0.926605504587156,0.910007610350076,0.9117647058823529,0.8611111111111112,0.8857142857142857,0.9292237442922373,0.9172379554339277,70,3,5,31,0.958904109589041
