variant,brier,log_loss,ece,roc_auc
uncalibrated,0.08082924041470595,0.27238173554647954,0.03275193051109462,0.9496234554361337
calibrated,0.07988877734883457,0.42259279555935897,0.04319796898010474,0.94783212692842
change,-0.0009404630658713803,0.15021106001287943,0.01044603846901012,-0.0017913285077136853
