threshold,net_benefit_model,net_benefit_treat_all,net_benefit_treat_none,n_flagged,benefit_over_best_default
0.01,0.32351033268464463,0.32351033268464463,0.0,109,0.0
0.02,0.31660737689571244,0.31660737689571244,0.0,109,0.0
0.03,0.29915823323560015,0.3095620921214414,0.0,79,-0.010403858885841277
0.04,0.3000764525993884,0.3023700305810398,0.0,65,-0.0022935779816513624
0.05,0.30033800096571706,0.29502655721873494,0.0,58,0.005311443746982114
0.06,0.29904352918211985,0.2875268397423385,0.0,56,0.011516689439781347
0.07,0.2994968925717668,0.27986583801913784,0.0,52,0.01963105455262898
0.08,0.2983645791783008,0.2720382927802154,0.0,51,0.026326286398085375
0.09,0.2891420506099405,0.264038713579998,0.0,48,0.025103337029942552
0.1,0.28950050968399593,0.2558613659531091,0.0,46,0.033639143730886834
0.11,0.29027935264405735,0.24750025770539122,0.0,44,0.042779094938666135
0.12,0.27981651376146793,0.23894912427022522,0.0,43,0.04086738949124272
0.13,0.26932405356954553,0.23020141305494043,0.0,42,0.039122640514605095
0.14,0.26797525069340733,0.22125026669511416,0.0,42,0.04672498399829317
0.15,0.26821370750134915,0.21208850512682137,0.0,41,0.05612520237452778
0.16,0.2686762778505898,0.20270860637833116,0.0,40,0.06596767147225863
0.17,0.26749198629379906,0.1931026859732508,0.0,40,0.07438930032054825
0.18,0.2662788095770866,0.18326247482658314,0.0,40,0.08301633475050346
0.19,0.2650356778797146,0.17317929550345457,0.0,40,0.09185638237626004
0.2,0.2637614678899083,0.16284403669724773,0.0,40,0.10091743119266056
0.21,0.26245499941934736,0.15224712576936478,0.0,40,0.11020787364998258
0.22,0.26370265819807104,0.14137849917666434,0.0,39,0.1223241590214067
0.23,0.26248063862742765,0.1302275705945431,0.0,39,0.13225306803288456
0.24,0.264123611781748,0.11878319652341865,0.0,38,0.14534041525832933
0.25,0.26605504587155965,0.10703363914373093,0.0,37,0.15902140672782872
0.26,0.2650632283659807,0.09496652615918671,0.0,37,0.17009670220679396
0.27,0.2640442377780571,0.08256880733944955,0.0,37,0.18147543043860753
0.28,0.26299694189602446,0.0698267074413863,0.0,37,0.19317023445463816
0.29,0.26566739888874535,0.05672567515182836,0.0,36,0.208941723736917
0.3,0.26474442988204455,0.04325032765399739,0.0,36,0.22149410222804716
0.31,0.2637947081505119,0.029384390373620506,0.0,36,0.23441031777689142
0.32,0.26281705342687534,0.015110631408526698,0.0,36,0.24770642201834864
0.33,0.2618102149801452,0.00041079008626587754,0.0,36,0.2613994248938793
0.34,0.25159855435084794,-0.014734500973033138,0.0,35,0.25159855435084794
0.35,0.26040931545518703,-0.030345800988002825,0.0,33,0.26040931545518703
0.36,0.2597477064220184,-0.04644495412844041,0.0,33,0.2597477064220184
0.37,0.2590650939274793,-0.06305519149555844,0.0,33,0.2590650939274793
0.38,0.2583604616750518,-0.08020124297129327,0.0,33,0.2583604616750518
0.39,0.25763272672582344,-0.09790946006918333,0.0,33,0.25763272672582344
0.4,0.26299694189602446,-0.11620795107033643,0.0,32,0.26299694189602446
0.41,0.26247861918830667,-0.135126729902037,0.0,32,0.26247861918830667
0.42,0.261942423283771,-0.15469788041758942,0.0,32,0.261942423283771
0.43,0.26138741348784805,-0.17495573796877506,0.0,32,0.26138741348784805
0.44,0.2608125819134994,-0.19593709043250318,0.0,32,0.2608125819134994
0.45,0.2602168473728107,-0.21768140116763968,0.0,32,0.2602168473728107
0.46,0.2595990485898743,-0.24023105674481815,0.0,32,0.2595990485898743
0.47,0.25895793664531763,-0.2636316427211355,0.0,32,0.25895793664531763
0.48,0.2582921665490473,-0.28793225123500354,0.0,32,0.2582921665490473
0.49,0.25760028782155064,-0.313185824788631,0.0,32,0.25760028782155064
0.5,0.25688073394495414,-0.33944954128440363,0.0,32,0.25688073394495414
0.51,0.2561318105223741,-0.3667852462085751,0.0,32,0.2561318105223741
0.52,0.25535168195718655,-0.39525993883792054,0.0,32,0.25535168195718655
0.53,0.25453835643177825,-0.4249463205153231,0.0,32,0.25453835643177825
0.54,0.2536896689270044,-0.4559234144395692,0.0,32,0.2536896689270044
0.55,0.2528032619775739,-0.488277268093782,0.0,32,0.2528032619775739
0.56,0.2518765638031693,-0.5221017514595497,0.0,32,0.2518765638031693
0.57,0.25090676338809476,-0.5574994666097719,0.0,32,0.25090676338809476
0.58,0.24989078200087375,-0.5945827872433379,0.0,32,0.24989078200087375
0.59,0.24882524054598346,-0.6334750503468335,0.0,32,0.24882524054598346
0.6,0.24770642201834864,-0.6743119266055044,0.0,32,0.24770642201834864
0.61,0.24653022818160433,-0.7172430016466713,0.0,32,0.24653022818160433
0.62,0.24529212940608403,-0.7624336069531628,0.0,32,0.24529212940608403
0.63,0.2439871063724275,-0.8100669476816265,0.0,32,0.2439871063724275
0.64,0.23343527013251786,-0.8603465851172274,0.0,31,0.23343527013251786
0.65,0.2490170380078637,-0.9134993446920054,0.0,30,0.2490170380078637
0.66,0.248246087425796,-0.9697787371829467,0.0,30,0.248246087425796
0.67,0.24742841256602727,-1.0294690019460664,0.0,30,0.24742841256602727
0.68,0.24655963302752296,-1.092889908256881,0.0,30,0.24655963302752296
0.69,0.2456348031962119,-1.160402485942587,0.0,30,0.2456348031962119
0.7,0.24464831804281345,-1.232415902140673,0.0,30,0.24464831804281345
0.71,0.24359379943055995,-1.3093957608351794,0.0,30,0.24359379943055995
0.72,0.24246395806028836,-1.3918741808650064,0.0,30,0.24246395806028836
0.73,0.24125042473666328,-1.480462113489636,0.0,30,0.24125042473666328
0.74,0.2399435426958363,-1.5758645024700069,0.0,30,0.2399435426958363
0.75,0.23853211009174313,-1.678899082568807,0.0,30,0.23853211009174313
0.76,0.23700305810397554,-1.7905198776758413,0.0,30,0.23700305810397554
0.77,0.2353410450737934,-1.9118468288791386,0.0,30,0.2353410450737934
0.78,0.2335279399499583,-2.0442035029190997,0.0,30,0.2335279399499583
0.79,0.22236784622105724,-2.189165574486676,0.0,29,0.22236784622105724
0.8,0.22018348623853212,-2.3486238532110093,0.0,29,0.22018348623853212
