protocol,accuracy,balanced_accuracy,precision,recall,f1,roc_auc
correct (SMOTE inside CV),0.8927946127946127,0.8741432609079668,0.8480013759889922,0.8196078431372549,0.832113572701808,0.9486167540089108
leaky (SMOTE before CV),0.924486301369863,0.9246246246246246,0.9238361505099137,0.9286786786786786,0.92410210035618,0.9744682182182182
inflation (leaky - correct),0.03169168857525029,0.05048136371665779,0.07583477452092158,0.10907083554142372,0.09198852765437204,0.025851464209307395
