tier,n_features,cv_roc_auc,cv_roc_auc_std,test_roc_auc,test_accuracy,test_recall,test_specificity,gain_over_previous
questionnaire,19,0.886888341543514,0.06562257265074008,0.8964992389649924,0.8348623853211009,0.6944444444444444,0.9041095890410958,
+ clinic vitals,25,0.8797290640394089,0.06981721000722853,0.8968797564687976,0.8532110091743119,0.7222222222222222,0.9178082191780822,-0.007159277504105166
+ blood panel,36,0.8901888341543515,0.06243589738479115,0.8770928462709284,0.8440366972477065,0.6944444444444444,0.9178082191780822,0.01045977011494259
+ ultrasound (all),41,0.9523070607553367,0.027009783536446612,0.9421613394216134,0.926605504587156,0.8333333333333334,0.9726027397260274,0.062118226600985205
